event_id,sport,category,event
0fb6b498-9961-4bd6-a1d6-45432085ba5b,Basketball,Indonesia,Evos Thunder Bogor - Prawira Bandung
4f912dda-4d9f-4360-9f47-9134ba75460b,Table Tennis,Russia,"Minchenkov, Mihail - Soldatov Ivan"
ec9206a8-83d1-4864-adaf-2ef413034bf5,Table Tennis,Ukraine,Baklykov Andrey - Yunchik Valentin
81cc9ef1-992e-4884-b821-c806b978ac9f,Table Tennis,Ukraine,Vachta Dmitry - Baklykov Andrey
fd0b61ca-212d-4cca-8392-05a4f3a365c1,Table Tennis,Ukraine,Yunchik Valentin - Hrytsyienko Nazar
1109a714-9469-46f5-b3f4-3701b409096f,Table Tennis,Russia,"Dukhin, Maksim - Gerasimov Anton"
a9fafb21-8455-4e91-8c90-158b2c22dc53,Table Tennis,Russia,Staroverov Vladimir - Prokhorov Andrey
f1a99b9a-0e35-4ebe-959f-559ef5808102,Table Tennis,Russia,Gerasimov Anton - Rudenko Vasiliy
47f0140d-67e6-4b76-8218-e46f7c413f15,Table Tennis,Russia,"Dukhin, Maksim - Staroverov Vladimir"
9c0acc17-7be9-496b-aa3f-f6c0461c7f30,Table Tennis,Russia,Rudenko Vasiliy - Prokhorov Andrey
45e13273-ca14-4f59-b331-acc1bfe61fcf,Table Tennis,Russia,Gerasimov Anton - Staroverov Vladimir
9770caae-c939-4dc2-b9b0-49517640f484,Table Tennis,Russia,"Prokhorov Andrey - Dukhin, Maksim"
83791423-d1d3-4970-abc9-5f812465abe9,Basketball,USA,Glenville St. (w) - Charleston (WV) (w)
6e613ef2-cd4c-47d5-85e1-9dfc9c14d987,Basketball,USA,North Georgia (w) - Lander (w)
7e3d33e7-b09b-4283-a6be-df7414431478,Table Tennis,Russia,"Rudenko Vasiliy - Dukhin, Maksim"
a151391f-ea3c-4fe3-a42c-6d14b8a0e3a9,Basketball,USA,Union (TN) (w) - Valdosta State (w)
ae91ad42-c009-4098-8741-b7bfde9075ca,Basketball,Argentina,Independiente BBC - CD Libertad Sunchales
2942ce5a-04d3-47d8-94f1-57f40ee1704a,Handball,Korea Republic,Sangmu - Hynix
45b72ed9-7cac-4313-85de-3b5a12cd5b29,Table Tennis,Russia,Kharlakin Oleg - Anisimov Evgeny
ebdd5de9-5c30-4aad-91ca-3a795f59d6f6,Basketball,USA,Cal St. East Bay (w) - Western Wash. (w)
ed02910b-a425-4c21-a25c-47faad172512,Volleyball,Israel,Maccabi Nazareth (w) - KK Tel Aviv (w)
4770dc89-5363-49e9-979d-ac26ecec2dd1,Football,Denmark,Vejle BK (res.) - Viborg FF (res.)
